Freq.	V(vout)/V(vin)
1.31263126312630e+008	(1.74007113534786e+001dB,1.76990111619099e+002°)
1.31300630063005e+008	(1.74007123754859e+001dB,1.76988947654166e+002°)
1.31338133813380e+008	(1.74007133976292e+001dB,1.76987783777863e+002°)
1.31375637563756e+008	(1.74007144198759e+001dB,1.76986619990089e+002°)
1.31413141314131e+008	(1.74007154422846e+001dB,1.76985456290799e+002°)
1.31450645064506e+008	(1.74007164647680e+001dB,1.76984292679894e+002°)
1.31488148814881e+008	(1.74007174873983e+001dB,1.76983129157323e+002°)
1.31525652565256e+008	(1.74007185101298e+001dB,1.76981965722990e+002°)
1.31563156315631e+008	(1.74007195330053e+001dB,1.76980802376836e+002°)
1.31600660066006e+008	(1.74007205560066e+001dB,1.76979639118786e+002°)
1.31638163816381e+008	(1.74007215791196e+001dB,1.76978475948749e+002°)
1.31675667566756e+008	(1.74007226023435e+001dB,1.76977312866688e+002°)
1.31713171317131e+008	(1.74007236257339e+001dB,1.76976149872512e+002°)
1.31750675067506e+008	(1.74007246491889e+001dB,1.76974986966111e+002°)
1.31788178817881e+008	(1.74007256728013e+001dB,1.76973824147454e+002°)
1.31825682568256e+008	(1.74007266965300e+001dB,1.76972661416467e+002°)
1.31863186318631e+008	(1.74007277203914e+001dB,1.76971498773054e+002°)
1.31900690069006e+008	(1.74007287443656e+001dB,1.76970336217161e+002°)
1.31938193819381e+008	(1.74007297684694e+001dB,1.76969173748702e+002°)
1.31975697569756e+008	(1.74007307926810e+001dB,1.76968011367595e+002°)
1.32013201320131e+008	(1.74007318170445e+001dB,1.76966849073810e+002°)
1.32050705070506e+008	(1.74007328415160e+001dB,1.76965686867227e+002°)
1.32088208820881e+008	(1.74007338661166e+001dB,1.76964524747807e+002°)
1.32125712571256e+008	(1.74007348908766e+001dB,1.76963362715473e+002°)
1.32163216321631e+008	(1.74007359157345e+001dB,1.76962200770122e+002°)
1.32200720072006e+008	(1.74007369406916e+001dB,1.76961038911693e+002°)
1.32238223822381e+008	(1.74007379658138e+001dB,1.76959877140140e+002°)
1.32275727572756e+008	(1.74007389910133e+001dB,1.76958715455362e+002°)
1.32313231323131e+008	(1.74007400163817e+001dB,1.76957553857293e+002°)
1.32350735073506e+008	(1.74007410418736e+001dB,1.76956392345878e+002°)
1.32388238823881e+008	(1.74007420674920e+001dB,1.76955230921029e+002°)
1.32425742574256e+008	(1.74007430932364e+001dB,1.76954069582674e+002°)
1.32463246324631e+008	(1.74007441190990e+001dB,1.76952908330750e+002°)
1.32500750075006e+008	(1.74007451450925e+001dB,1.76951747165163e+002°)
